event_time,estimate,se,ci_lower,ci_upper,weight,outcome_group,outcome_type
-2,0.0178832942510878,0.0310977155706198,-0.0430671082687974,0.0788336967709731,emw,all,rx
-1,0,,,,emw,all,rx
0,0.0881365322705641,0.0197499842831746,0.0494272743803098,0.126845790160818,emw,all,rx
1,0.095963403103851,0.0415955926135743,0.014437539665645,0.177489266542057,emw,all,rx
2,0.244069802504434,0.0837880685375785,0.0798482058366066,0.408291399172262,emw,all,rx
3,0.189829872241016,0.0404027927812833,0.110641853514866,0.269017890967166,emw,all,rx
4,0.309303981870328,0.0438802659568402,0.223300240962882,0.395307722777774,emw,all,rx
5,0.303627852539662,0.116615854334779,0.075064978017126,0.532190727062197,emw,all,rx
6,0.763468752191909,0.118780185384861,0.530663866760591,0.996273637623227,emw,all,rx
-4,-22.874269036315,5.90735228910743,-34.4524667669558,-11.2960713056742,emw,obesity,net_spending
-3,-15.7360128590317,4.47396479033189,-24.5048227161825,-6.9672030018809,emw,obesity,net_spending
-2,-9.11111714923197,4.34911331205331,-17.6352226055402,-0.587011692923781,emw,obesity,net_spending
-1,0,,,,emw,obesity,net_spending
0,60.517534554774,8.73688903895666,43.3935467014962,77.6415224080518,emw,obesity,net_spending
1,123.235653034974,19.8009039196815,84.4265944910601,162.044711578888,emw,obesity,net_spending
2,132.650571576233,19.3413663081762,94.742190200411,170.558952952055,emw,obesity,net_spending
3,109.523642164151,15.6794187859461,78.7925460451764,140.254738283126,emw,obesity,net_spending
4,171.10759282572,23.2970817094118,125.446151730386,216.769033921054,emw,obesity,net_spending
5,292.130980830909,43.4611870710649,206.948619446263,377.313342215553,emw,obesity,net_spending
6,515.909961844088,52.228452389949,413.544076191523,618.275847496653,emw,obesity,net_spending
-4,-14.48687900598,21.1473494530857,-55.9349223025107,26.9611642905508,emw,diab_cardiac,net_spending
-3,5.08617179634484,14.9471857957803,-24.2097740336132,34.3821176263029,emw,diab_cardiac,net_spending
-2,25.0185799734045,13.5539219838417,-1.5466189641909,51.5837789109999,emw,diab_cardiac,net_spending
-1,0,,,,emw,diab_cardiac,net_spending
0,8.59452522609172,10.4262289029928,-11.8405079183447,29.0295583705281,emw,diab_cardiac,net_spending
1,-34.1986113818834,25.738902522461,-84.6459333274942,16.2487105637273,emw,diab_cardiac,net_spending
2,45.1292789278277,52.7341611486697,-58.2277776784963,148.486335534152,emw,diab_cardiac,net_spending
3,26.3530432956782,33.2838707947153,-38.8821447280483,91.5882313194046,emw,diab_cardiac,net_spending
4,81.2317993775409,51.0668971057389,-18.85747975192,181.321078507002,emw,diab_cardiac,net_spending
5,0.759671637973042,77.0007765744209,-150.159077229507,151.678420505453,emw,diab_cardiac,net_spending
6,167.452494870868,76.2207630518468,18.0625444150871,316.842445326649,emw,diab_cardiac,net_spending
-4,-37.3611480423069,23.2291792129569,-82.8895026901289,8.16720660551508,emw,all,net_spending
-3,-10.6498410627,15.374976552824,-40.7842413693829,19.4845592439829,emw,all,net_spending
-2,15.9074628241597,15.2430949114903,-13.9684542152871,45.7833798636064,emw,all,net_spending
-1,0,,,,emw,all,net_spending
0,69.1120597808558,13.6087787122598,42.4393436312513,95.7847759304604,emw,all,net_spending
1,89.0370416530786,32.6320011207727,25.0794947128935,152.994588593264,emw,all,net_spending
2,177.779850504051,64.9412548267951,50.4973299326947,305.062371075407,emw,all,net_spending
3,135.876685459816,29.9478020149217,77.1800720944336,194.573298825199,emw,all,net_spending
4,252.339392203249,38.1061946817217,177.652623039203,327.026161367295,emw,all,net_spending
5,292.890652468872,83.2786920452784,129.667415380524,456.11388955722,emw,all,net_spending
6,683.36245671495,114.796032717635,458.366367020305,908.358546409595,emw,all,net_spending
-4,0.891863462936954,0.487018284025282,-0.0626748335650975,1.846401759439,emw,ce,spending
-3,0.497573649128526,0.339948392133351,-0.168712956055141,1.16386025431219,emw,ce,spending
-2,0.245696994182794,0.222745999024376,-0.190877141605377,0.682271129970964,emw,ce,spending
-1,0,,,,emw,ce,spending
0,-0.0899728040662069,0.309357381963642,-0.696302131066546,0.516356522934132,emw,ce,spending
1,-0.498422207127419,0.674558826285971,-1.82053321210153,0.823688797846694,emw,ce,spending
2,-1.0260172483585,1.0903918953934,-3.16314609236394,1.11111159564694,emw,ce,spending
3,-1.20576562843911,2.15378346907381,-5.42710365832152,3.0155724014433,emw,ce,spending
4,-2.11424535792989,3.77329459639076,-9.50976686991538,5.2812761540556,emw,ce,spending
5,-3.42676464818763,5.38505283224745,-13.981274254238,7.12774495786278,emw,ce,spending
6,-5.88569657364215,7.29822481798979,-20.1899543679785,8.41856122069423,emw,ce,spending
