event_time,weight,outcome_group,outcome_type,treat_mean,control_mean
0,uw,all,net_spending,348.894524022935,262.199461959088
1,uw,all,net_spending,457.996911165472,328.465820553746
2,uw,all,net_spending,511.212230271722,364.782936856881
3,uw,all,net_spending,505.159014311737,384.314108471291
4,uw,all,net_spending,596.551001078547,401.390900364734
5,uw,all,net_spending,743.278171435544,503.612960601151
6,uw,all,net_spending,934.164571019792,505.56382133161
7,uw,all,net_spending,988.575221470134,533.805532864044
8,uw,all,net_spending,1147.6029159415,527.720078376473
9,uw,all,net_spending,1206.57738513293,581.319614227617
-4,uw,ce,spending,7.66145899161304,10.4073866570088
-3,uw,ce,spending,7.92244572462124,11.0694638914851
-2,uw,ce,spending,8.89814699436985,12.40270267702
-1,uw,ce,spending,9.86349611134333,13.3511810203516
0,uw,ce,spending,11.4291632131118,14.9049190894068
1,uw,ce,spending,12.6988710095364,16.4930717909341
2,uw,ce,spending,14.5551729000851,19.0783050324079
3,uw,ce,spending,18.0197737384062,21.8864858680633
4,uw,ce,spending,23.3112701574685,27.137750298825
5,uw,ce,spending,28.3922111045856,33.5045588535364
6,uw,ce,spending,35.8352016794237,42.4542973555434
7,uw,ce,spending,41.9751209736414,51.0216070499795
8,uw,ce,spending,51.1828283786163,62.1662982952152
9,uw,ce,spending,52.6733106274831,65.62078658644
-4,emw,obesity,spending,13.1397193610867,0.579943568484478
-3,emw,obesity,spending,22.1351803761469,0.690153969905169
-2,emw,obesity,spending,31.3839745553755,0.686966053311012
-1,emw,obesity,spending,35.855455564642,0.640997678396393
0,emw,obesity,spending,115.278284036016,1.07514426095406
1,emw,obesity,spending,207.003161750378,1.30245783533412
2,emw,obesity,spending,225.502039325364,1.07526512426426
3,emw,obesity,spending,175.841370590498,0.739836616684569
4,emw,obesity,spending,239.67408489993,0.620635520662438
5,emw,obesity,spending,395.141739787849,1.28992405485944
6,emw,obesity,spending,698.009376771166,2.5779326152154
7,emw,obesity,spending,728.798110186484,4.37777308217876
8,emw,obesity,spending,913.185697042264,7.59319687915222
9,emw,obesity,spending,1036.41875090671,14.2613654162498
-4,emw,diab_cardiac,spending,284.722489869312,321.980288585597
-3,emw,diab_cardiac,spending,367.556231973249,364.499208721835
-2,emw,diab_cardiac,spending,466.126047263036,410.978071176345
-1,emw,diab_cardiac,spending,442.345038430587,424.610469056156
0,emw,diab_cardiac,spending,553.067312927455,500.451785179491
1,emw,diab_cardiac,spending,581.019926297713,597.039704336599
2,emw,diab_cardiac,spending,775.848085094199,626.334269136483
3,emw,diab_cardiac,spending,717.168321403545,616.256181466977
4,emw,diab_cardiac,spending,819.850879826061,624.109865630603
5,emw,diab_cardiac,spending,828.489107652892,795.507224320705
6,emw,diab_cardiac,spending,1050.07682380893,767.720029216908
7,emw,diab_cardiac,spending,954.935351876183,774.447796641986
8,emw,diab_cardiac,spending,885.1524104972,772.496538212594
9,emw,diab_cardiac,spending,833.510063314015,837.862212911586
-4,emw,all,spending,297.862209230399,322.560232154081
-3,emw,all,spending,389.691412349394,365.18936269174
-2,emw,all,spending,497.510021818411,411.665037229657
-1,emw,all,spending,478.200493995229,425.251466734552
0,emw,all,spending,668.34559696347,501.526929440445
1,emw,all,spending,788.02308804809,598.342162171933
2,emw,all,spending,1001.35012441956,627.409534260748
3,emw,all,spending,893.009691994043,616.996018083662
4,emw,all,spending,1059.52496472599,624.730501151265
5,emw,all,spending,1223.63084744074,796.797148375565
6,emw,all,spending,1748.08620058009,770.297961832124
7,emw,all,spending,1683.73346206267,778.825569724164
8,emw,all,spending,1798.33810753946,780.089735091746
9,emw,all,spending,1869.92881422073,852.123578327835
-4,emw,obesity,rx,0.0098795357724326,0.000447359313324886
-3,emw,obesity,rx,0.0167705291571351,0.000541612244943573
-2,emw,obesity,rx,0.0237263986270097,0.000570791148139162
-1,emw,obesity,rx,0.0272055199270761,0.000520301310699122
0,emw,obesity,rx,0.0879749026590361,0.000853747415520802
1,emw,obesity,rx,0.1595748812215,0.0009968499568025
2,emw,obesity,rx,0.173916993764034,0.000843580316917716
