state,enrollment_sep2025,covered,adoption_quarter,att_rx_avg,att_gross_avg,att_net_avg,att_rx_et9,att_gross_et9,att_net_et9,implied_rx_monthly_avg,implied_gross_monthly_avg,implied_net_monthly_avg,implied_rx_monthly_et9,implied_gross_monthly_et9,implied_net_monthly_et9,implied_gross_annual_avg,implied_net_annual_avg,implied_gross_annual_et9,implied_net_annual_et9
MT,193524,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,682.415491394639,841402.583791165,643130.846808372,1588.82988166793,1909971.43121678,1454616.90141266,10096831.005494,7717570.16170046,22919657.1746013,17455402.8169519
NC,2535360,1,2024-Q3,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,8940.33267327211,11023224.2762694,8425664.12312723,20815.2773236684,25022556.2093062,19056951.6295943,132278691.315233,101107969.477527,300270674.511674,228683419.555131
ND,102021,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,359.752334839981,443566.343197528,339042.45531426,837.591272181456,1006889.04417109,766837.554510143,5322796.11837034,4068509.46377112,12082668.5300531,9202050.65412171
NE,301632,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,1063.63215673688,1311433.9521408,1002401.99450457,2476.39535596237,2976935.69139114,2267207.1950089,15737207.4256896,12028823.9340549,35723228.2966937,27206486.3401069
NH,162604,1,2022-Q3,0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,573.383603908218,706968.777695679,540375.603100538,1334.97702651213,1604808.67800155,1222207.71913201,8483625.33234815,6484507.23720646,19257704.1360186,14666492.6295842
NJ,1511726,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,5330.73541857368,6572673.99590895,5023860.72281594,12411.253600041,14919872.8417541,11362839.6989777,78872087.9509074,60286328.6737913,179038474.101049,136354076.387732
NM,646450,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,2279.54927767132,2810631.75777577,2148322.35753329,5307.34729028046,6380092.55549744,4859020.56550202,33727581.0933093,25779868.2903995,76561110.6659692,58308246.7860243
NV,689962,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,2432.98380187278,2999812.99227858,2292924.10928669,5664.58032500036,6809531.16215658,5186077.10946695,35997755.907343,27515089.3114403,81714373.945879,62232925.3136033
NY,5873147,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,20710.2297184739,25535236.2538255,19518002.953329,48218.471368039,57964608.944299,44145319.912161,306422835.045906,234216035.439948,695575307.331588,529743838.945933
OH,2534444,0,"",0.35262576806734,434.779450502865,332.326143945129,0.82099888472124,986.942927604213,751.6467732233,8937.10262123662,11019241.6965028,8422620.01564869,20807.7569738844,25013515.8120893,19050066.5451515,132230900.358034,101071440.187784,300162189.745072,228600798.541818
